id,date,region,product,category,quantity,price,revenue,manager
1,2024-01-05,Москва,Ноутбук Dell,Электроника,3,65000,195000,Иванов
2,2024-01-07,Санкт-Петербург,iPhone 15,Электроника,5,89000,445000,Петрова
3,2024-01-10,Москва,Кресло офисное,Мебель,10,12000,120000,Сидоров
4,2024-01-12,Казань,Монитор LG,Электроника,4,25000,100000,Иванов
5,2024-01-15,Москва,Стол рабочий,Мебель,6,18000,108000,Петрова
6,2024-01-18,Новосибирск,Ноутбук Dell,Электроника,2,65000,130000,Козлов
7,2024-01-20,Санкт-Петербург,Кресло офисное,Мебель,15,12000,180000,Сидоров
8,2024-01-22,Москва,iPhone 15,Электроника,8,89000,712000,Иванов
9,2024-01-25,Казань,Стол рабочий,Мебель,4,18000,72000,Петрова
10,2024-01-28,Новосибирск,Монитор LG,Электроника,6,25000,150000,Козлов
11,2024-02-02,Москва,Ноутбук Dell,Электроника,5,65000,325000,Иванов
12,2024-02-05,Санкт-Петербург,Стол рабочий,Мебель,8,18000,144000,Петрова
13,2024-02-08,Казань,iPhone 15,Электроника,3,89000,267000,Козлов
14,2024-02-10,Москва,Кресло офисное,Мебель,20,12000,240000,Сидоров
15,2024-02-14,Новосибирск,Ноутбук Dell,Электроника,1,65000,65000,Иванов
16,2024-02-17,Санкт-Петербург,Монитор LG,Электроника,7,25000,175000,Петрова
17,2024-02-20,Москва,iPhone 15,Электроника,6,89000,534000,Козлов
18,2024-02-22,Казань,Кресло офисное,Мебель,12,12000,144000,Иванов
19,2024-02-25,Новосибирск,Стол рабочий,Мебель,5,18000,90000,Сидоров
20,2024-02-28,Москва,Монитор LG,Электроника,9,25000,225000,Петрова
21,2024-03-03,Санкт-Петербург,Ноутбук Dell,Электроника,4,65000,260000,Козлов
22,2024-03-06,Москва,iPhone 15,Электроника,10,89000,890000,Иванов
23,2024-03-10,Казань,Монитор LG,Электроника,5,25000,125000,Петрова
24,2024-03-13,Новосибирск,Кресло офисное,Мебель,8,12000,96000,Сидоров
25,2024-03-17,Москва,Стол рабочий,Мебель,3,18000,54000,Козлов
